Gene name	Gene stable ID
pudp	ENSDARG00000027826
	ENSDARG00000010408
mxd4	ENSDARG00000054031
tyw1	ENSDARG00000062987
ambp	ENSDARG00000004296
arpp19b	ENSDARG00000039880
rps28	ENSDARG00000035860
chka	ENSDARG00000041078
rps27.1	ENSDARG00000023298
	ENSDARG00000104332
tacr3a	ENSDARG00000075112
si:dkey-103j14.5	ENSDARG00000002219
	ENSDARG00000098889
mrpl42	ENSDARG00000079391
ctslb	ENSDARG00000074306
	ENSDARG00000093010
	ENSDARG00000096588
	ENSDARG00000105603
	ENSDARG00000093645
ebag9	ENSDARG00000040021
f13a1b	ENSDARG00000036893
colec11	ENSDARG00000013266
	ENSDARG00000042937
	ENSDARG00000111173
	ENSDARG00000094473
hsd11b1la	ENSDARG00000071377
grm6b	ENSDARG00000025671
	ENSDARG00000092630
thy1	ENSDARG00000035018
ctslb	ENSDARG00000039173
	ENSDARG00000037196
mybl2b	ENSDARG00000032264
ccsapa	ENSDARG00000025325
	ENSDARG00000097542
btr06	ENSDARG00000054184
ahcyl1	ENSDARG00000056331
mif4gda	ENSDARG00000102080
cldna	ENSDARG00000069888
drd4a	ENSDARG00000038363
atp1a2a	ENSDARG00000010472
ccr10	ENSDARG00000040643
arhgap21b	ENSDARG00000075673
apmap	ENSDARG00000017422
	ENSDARG00000095804
	ENSDARG00000077318
si:ch211-256a21.4	ENSDARG00000097032
si:dkey-242h9.5	ENSDARG00000092535
	ENSDARG00000096638
pvrl2l	ENSDARG00000063390
HEPH	ENSDARG00000026403
iffo1b	ENSDARG00000062108
	ENSDARG00000076830
GRB7	ENSDARG00000042726
stx10	ENSDARG00000075030
ext1a	ENSDARG00000103155
sema3aa	ENSDARG00000019235
mbd2	ENSDARG00000075952
nubp1	ENSDARG00000055472
doc2b	ENSDARG00000088293
tmc8	ENSDARG00000101050
	ENSDARG00000097953
opn7c	ENSDARG00000030867
rprma	ENSDARG00000053383
ankk1	ENSDARG00000056921
TRMT1L	ENSDARG00000042057
	ENSDARG00000105459
si:dkey-23a13.20	ENSDARG00000100906
lyplal1	ENSDARG00000088764
rbm48	ENSDARG00000033754
igbp1	ENSDARG00000002184
	ENSDARG00000093450
gsk3ab	ENSDARG00000015681
	ENSDARG00000092078
	ENSDARG00000105359
gpr158b	ENSDARG00000079665
pdcd4a	ENSDARG00000021702
	ENSDARG00000096968
dazap1	ENSDARG00000070846
trpc4a	ENSDARG00000070507
zc3h11a	ENSDARG00000009754
	ENSDARG00000077124
	ENSDARG00000101124
	ENSDARG00000067828
nf1b	ENSDARG00000004184
dcaf12	ENSDARG00000063155
	ENSDARG00000096606
map4k6	ENSDARG00000033444
	ENSDARG00000088861
ATP8B4	ENSDARG00000079453
rnf169	ENSDARG00000042825
	ENSDARG00000100423
aimp1a	ENSDARG00000060036
creb3l3l	ENSDARG00000020926
	ENSDARG00000104656
si:dkey-25c4.1	ENSDARG00000091901
cd82a	ENSDARG00000019098
fbxo15	ENSDARG00000016897
psmb7	ENSDARG00000037962
	ENSDARG00000096996
col8a1b	ENSDARG00000003533
dnmt3ab	ENSDARG00000015566
	ENSDARG00000115281
zgc:194989	ENSDARG00000114405
sla2b	ENSDARG00000020788
asic1c	ENSDARG00000098428
	ENSDARG00000097460
matn3a	ENSDARG00000069245
lrrc4ba	ENSDARG00000004597
atg3	ENSDARG00000009350
sh3glb1b	ENSDARG00000010956
	ENSDARG00000098260
	ENSDARG00000099535
si:ch211-113d22.2	ENSDARG00000100139
pagr1	ENSDARG00000076966
eif4h	ENSDARG00000042252
skia	ENSDARG00000042151
zfand5a	ENSDARG00000018898
zgc:112496	ENSDARG00000004274
mdh1b	ENSDARG00000018008
btbd8	ENSDARG00000103802
znf507	ENSDARG00000052164
josd1	ENSDARG00000071548
zgc:162025	ENSDARG00000046141
cd81a	ENSDARG00000036080
rnf141	ENSDARG00000041802
	ENSDARG00000096747
mydgf	ENSDARG00000071679
pkp3b	ENSDARG00000079438
tnfaip8l1	ENSDARG00000086457
marchf5	ENSDARG00000032552
	ENSDARG00000097736
pcdh20	ENSDARG00000101910
ihhb	ENSDARG00000058815
bmi1b	ENSDARG00000013076
ccdc90b	ENSDARG00000044626
rpl5b	ENSDARG00000015862
	ENSDARG00000096017
g3bp2a	ENSDARG00000014790
timm23a	ENSDARG00000071396
nyx	ENSDARG00000061791
zgc:153631	ENSDARG00000068993
rpap1	ENSDARG00000075072
	ENSDARG00000097687
nutf2	ENSDARG00000056531
ift46	ENSDARG00000011240
naa60	ENSDARG00000061185
	ENSDARG00000095132
prune2	ENSDARG00000059423
tap2a	ENSDARG00000036787
	ENSDARG00000079221
cebpz	ENSDARG00000045857
	ENSDARG00000094301
	ENSDARG00000114873
	ENSDARG00000103707
	ENSDARG00000097437
yars2	ENSDARG00000077299
	ENSDARG00000115333
	ENSDARG00000115584
ndufaf7	ENSDARG00000033134
btk	ENSDARG00000004433
itpkca	ENSDARG00000002994
ddx59	ENSDARG00000022177
ponzr6	ENSDARG00000036382
tmc2b	ENSDARG00000030311
chrna5	ENSDARG00000003420
timm17b	ENSDARG00000060124
yeats4	ENSDARG00000045874
tsc22d3	ENSDARG00000075666
fmoda	ENSDARG00000044895
gypc	ENSDARG00000041546
zcrb1	ENSDARG00000045691
PCDH11X	ENSDARG00000098652
	ENSDARG00000100468
	ENSDARG00000101459
utp4	ENSDARG00000017675
si:ch211-198e20.10	ENSDARG00000089513
ost4	ENSDARG00000096118
mfrp	ENSDARG00000087814
arsg	ENSDARG00000101715
	ENSDARG00000095555
tbcc	ENSDARG00000022918
	ENSDARG00000094135
dalrd3	ENSDARG00000068602
adipor1a	ENSDARG00000002912
si:ch73-281i18.7	ENSDARG00000103395
ARHGEF38	ENSDARG00000079377
ncoa5	ENSDARG00000016345
	ENSDARG00000091317
hspa12a.2	ENSDARG00000096726
trim35-20	ENSDARG00000070847
	ENSDARG00000096678
arhgdig	ENSDARG00000004034
TNNI1	ENSDARG00000000474
cnot6l	ENSDARG00000054597
	ENSDARG00000097891
DDR2	ENSDARG00000058695
	ENSDARG00000099189
spint1b	ENSDARG00000012467
	ENSDARG00000073950
sftpbb	ENSDARG00000067566
tbl1xr1a	ENSDARG00000058696
kcnk6	ENSDARG00000007383
	ENSDARG00000095291
psd2	ENSDARG00000063036
proca	ENSDARG00000093079
smarcd1	ENSDARG00000019004
si:dkeyp-72g9.4	ENSDARG00000073704
NTS	ENSDARG00000057887
pi15a	ENSDARG00000045378
	ENSDARG00000099469
ptbp3	ENSDARG00000043757
	ENSDARG00000097342
	ENSDARG00000017537
	ENSDARG00000094146
itgb5	ENSDARG00000012942
cyp1b1	ENSDARG00000068934
si:dkey-23n7.10	ENSDARG00000104129
sgca	ENSDARG00000074156
	ENSDARG00000052019
	ENSDARG00000101668
terb1	ENSDARG00000058587
rgs5b	ENSDARG00000017860
znfl1b	ENSDARG00000075996
kctd8	ENSDARG00000067507
ttpal	ENSDARG00000070644
aldh16a1	ENSDARG00000037935
	ENSDARG00000103815
	ENSDARG00000093180
BDKRB2	ENSDARG00000043664
rtcb	ENSDARG00000101047
ptprfb	ENSDARG00000005754
	ENSDARG00000103165
fam78aa	ENSDARG00000101217
stoml1	ENSDARG00000062142
	ENSDARG00000088402
il15	ENSDARG00000052361
nmnat2	ENSDARG00000004580
	ENSDARG00000078558
F2R	ENSDARG00000087469
kpna2	ENSDARG00000038066
prkag2b	ENSDARG00000001933
fmnl1a	ENSDARG00000055713
crot	ENSDARG00000040352
glsb	ENSDARG00000040705
afp4	ENSDARG00000095863
itgbl1	ENSDARG00000040985
tnnt2a	ENSDARG00000020610
	ENSDARG00000093781
si:dkey-220k22.1	ENSDARG00000035471
	ENSDARG00000116254
birc6	ENSDARG00000074166
	ENSDARG00000091633
eppk1	ENSDARG00000096359
fam102bb	ENSDARG00000002333
cacng8b	ENSDARG00000070626
si:dkey-208m12.2	ENSDARG00000071143
smpd2b	ENSDARG00000052701
hcfc2	ENSDARG00000058127
selenok	ENSDARG00000100823
kcnc3a	ENSDARG00000055855
	ENSDARG00000105665
nefmb	ENSDARG00000043697
ELFN2	ENSDARG00000077609
ccn4a	ENSDARG00000054331
ccdc24	ENSDARG00000038793
ccny	ENSDARG00000063677
ntn2	ENSDARG00000076748
	ENSDARG00000001559
lft2	ENSDARG00000044059
ugp2b	ENSDARG00000008200
pnocb	ENSDARG00000024189
epd	ENSDARG00000103498
C5H2orf68	ENSDARG00000059459
si:ch211-63o20.7	ENSDARG00000042000
mtmr10	ENSDARG00000010601
MYO15A	ENSDARG00000078474
dnmt3bb.3	ENSDARG00000057863
	ENSDARG00000095894
dmtn	ENSDARG00000013110
	ENSDARG00000097001
thrap3b	ENSDARG00000098228
	ENSDARG00000059196
cul3a	ENSDARG00000038967
diras1b	ENSDARG00000009372
calm3a	ENSDARG00000021811
cnep1r1	ENSDARG00000036064
RIN2	ENSDARG00000077040
rrp7a	ENSDARG00000098934
	ENSDARG00000095851
	ENSDARG00000110915
tsr2	ENSDARG00000005772
dhcr7	ENSDARG00000103226
magi2a	ENSDARG00000021590
cyp2k8	ENSDARG00000101190
lamb2l	ENSDARG00000033950
	ENSDARG00000097644
	ENSDARG00000005271
si:ch211-125e6.13	ENSDARG00000094370
	ENSDARG00000070755
mc3r	ENSDARG00000021369
	ENSDARG00000100590
dffb	ENSDARG00000009748
nrp2a	ENSDARG00000096546
	ENSDARG00000044264
rhd	ENSDARG00000002194
lsm10	ENSDARG00000101222
zgc:172120	ENSDARG00000069199
cdc42l2	ENSDARG00000057869
zgc:175136	ENSDARG00000103024
ints3	ENSDARG00000016811
atp6v1h	ENSDARG00000006370
slc16a12b	ENSDARG00000089885
zmp:0000000729	ENSDARG00000068221
	ENSDARG00000075853
	ENSDARG00000092299
si:ch73-56d11.5	ENSDARG00000093546
KMT2C	ENSDARG00000075560
	ENSDARG00000098744
	ENSDARG00000094958
rhbdd2	ENSDARG00000092463
slc25a11	ENSDARG00000035741
jac6	ENSDARG00000076530
jupa	ENSDARG00000070787
uox	ENSDARG00000007024
arl8	ENSDARG00000094709
syngap1b	ENSDARG00000069765
flt3	ENSDARG00000058503
atp9b	ENSDARG00000062521
prkg1a	ENSDARG00000020656
mxra5a	ENSDARG00000074815
	ENSDARG00000067824
nrip1b	ENSDARG00000068894
SLC17A7	ENSDARG00000090106
cdca9	ENSDARG00000088639
bbs10	ENSDARG00000069515
casp8ap2	ENSDARG00000022718
	ENSDARG00000105292
psme2	ENSDARG00000033144
brpf3a	ENSDARG00000070513
trim35-28	ENSDARG00000021021
	ENSDARG00000077877
si:dkey-14o18.2	ENSDARG00000062995
olfm1b	ENSDARG00000014053
grin2cb	ENSDARG00000077560
smim15	ENSDARG00000086699
sh3d21	ENSDARG00000099448
NECTIN1	ENSDARG00000086034
mrpl40	ENSDARG00000043554
usp43a	ENSDARG00000103494
	ENSDARG00000099174
si:ch211-39i2.2	ENSDARG00000104472
plekho1a	ENSDARG00000061191
tmem9b	ENSDARG00000025693
	ENSDARG00000090676
pros1	ENSDARG00000068261
gnai2b	ENSDARG00000017294
vipr2	ENSDARG00000012353
map2k1	ENSDARG00000007825
	ENSDARG00000095636
fmnl2a	ENSDARG00000012586
ehbp1	ENSDARG00000043643
cox10	ENSDARG00000034309
mcoln1a	ENSDARG00000002285
	ENSDARG00000103358
pwp1	ENSDARG00000015921
ugt2b6	ENSDARG00000091624
	ENSDARG00000102363
	ENSDARG00000094538
meak7	ENSDARG00000062951
	ENSDARG00000103224
gas6	ENSDARG00000007804
slc7a1a	ENSDARG00000016439
bco1l	ENSDARG00000103659
	ENSDARG00000103245
mief1	ENSDARG00000060991
	ENSDARG00000105505
stk17b	ENSDARG00000014348
mrps10	ENSDARG00000045913
hgd	ENSDARG00000058005
grik4	ENSDARG00000026753
smarca1	ENSDARG00000012776
sorbs2b	ENSDARG00000061603
zgc:172053	ENSDARG00000038321
cmc2	ENSDARG00000043635
ckmt1	ENSDARG00000016598
	ENSDARG00000097499
	ENSDARG00000101067
dennd6b	ENSDARG00000011605
vwa2	ENSDARG00000075441
gmppb	ENSDARG00000017658
gcc1	ENSDARG00000045541
gal3st1b	ENSDARG00000078245
zgc:113363	ENSDARG00000101206
	ENSDARG00000105771
	ENSDARG00000094442
	ENSDARG00000087254
tagln3a	ENSDARG00000079805
mfap4.8	ENSDARG00000093877
waslb	ENSDARG00000006283
	ENSDARG00000094232
zgc:198329	ENSDARG00000076981
tgs1	ENSDARG00000107511
	ENSDARG00000094302
CNGA3	ENSDARG00000012297
camk2d1	ENSDARG00000043010
serpinb1	ENSDARG00000055416
l1cama	ENSDARG00000007149
	ENSDARG00000095825
KAT6B	ENSDARG00000055429
polb	ENSDARG00000003749
zgc:123107	ENSDARG00000101675
btf3l4	ENSDARG00000089681
fam222bb	ENSDARG00000078578
paxx	ENSDARG00000078807
mmadhca	ENSDARG00000041602
	ENSDARG00000103971
trim35-22	ENSDARG00000102264
arxa	ENSDARG00000058011
calr3a	ENSDARG00000103979
MCHR2	ENSDARG00000007842
ccnd3	ENSDARG00000027391
	ENSDARG00000089217
ift52	ENSDARG00000045025
ninj1	ENSDARG00000103663
kctd3	ENSDARG00000060854
zgc:193593	ENSDARG00000096843
cart3	ENSDARG00000035852
	ENSDARG00000114894
sdha	ENSDARG00000016721
si:ch211-119e14.1	ENSDARG00000099518
abca3b	ENSDARG00000100524
ubap2a	ENSDARG00000088318
si:dkeyp-11e3.1	ENSDARG00000102058
setd6	ENSDARG00000043986
ufm1	ENSDARG00000043857
zgc:153921	ENSDARG00000038405
zgc:163040	ENSDARG00000099920
radil	ENSDARG00000079779
	ENSDARG00000096616
	ENSDARG00000097637
kif13ba	ENSDARG00000079731
zeb1b	ENSDARG00000013207
taok2b	ENSDARG00000100620
	ENSDARG00000114534
	ENSDARG00000102543
zgc:110366	ENSDARG00000004167
	ENSDARG00000094819
slc7a2	ENSDARG00000037097
krr1	ENSDARG00000011246
slc26a6	ENSDARG00000097292
taf6	ENSDARG00000102998
wdhd1	ENSDARG00000015998
thbs2b	ENSDARG00000073810
	ENSDARG00000097906
acvr1ba	ENSDARG00000018968
rxfp3	ENSDARG00000057410
mfn1b	ENSDARG00000079219
otol1b	ENSDARG00000058960
	ENSDARG00000100235
	ENSDARG00000092892
	ENSDARG00000099295
h2az2a	ENSDARG00000068820
rpp21	ENSDARG00000043404
DDHD2	ENSDARG00000076765
mtnr1aa	ENSDARG00000037545
si:dkey-35i13.1	ENSDARG00000097648
EP300	ENSDARG00000100666
purba	ENSDARG00000068822
tmem123	ENSDARG00000095674
ctnnd1	ENSDARG00000078233
pde10a	ENSDARG00000003449
	ENSDARG00000053340
	ENSDARG00000099065
	ENSDARG00000087740
	ENSDARG00000096913
bambia	ENSDARG00000055381
rpz2	ENSDARG00000091215
olfm1a	ENSDARG00000018270
	ENSDARG00000088895
dyrk3	ENSDARG00000070600
kcns3a	ENSDARG00000006891
REV3L	ENSDARG00000058801
	ENSDARG00000102256
sox10	ENSDARG00000077467
asic2	ENSDARG00000006849
	ENSDARG00000113712
si:ch211-126j24.1	ENSDARG00000098644
rxfp2a	ENSDARG00000032820
lft1	ENSDARG00000019920
	ENSDARG00000096850
pdhb	ENSDARG00000021346
EPHB2	ENSDARG00000037373
tceanc2	ENSDARG00000062919
hsf1	ENSDARG00000008818
atp8b3	ENSDARG00000042285
	ENSDARG00000094450
tmem176	ENSDARG00000078659
olfcq18	ENSDARG00000055920
trmt12	ENSDARG00000060338
	ENSDARG00000057039
ttll1	ENSDARG00000090778
phc1	ENSDARG00000002971
	ENSDARG00000097089
ifi27.6	ENSDARG00000074754
tmtopsb	ENSDARG00000032246
znf1156	ENSDARG00000098800
	ENSDARG00000099384
	ENSDARG00000105375
gpa33a	ENSDARG00000100223
dimt1l	ENSDARG00000005057
nlgn1	ENSDARG00000077710
mbnl3	ENSDARG00000016085
	ENSDARG00000092908
	ENSDARG00000115889
	ENSDARG00000113555
p2ry10	ENSDARG00000062811
	ENSDARG00000038570
	ENSDARG00000102408
si:ch211-155i14.1	ENSDARG00000070757
trpc6a	ENSDARG00000056625
oxgr1a.3	ENSDARG00000040247
entpd6	ENSDARG00000008757
si:ch211-194k22.8	ENSDARG00000096711
gprc5bb	ENSDARG00000075141
fgf3	ENSDARG00000101540
slco3a1a	ENSDARG00000018726
evi5b	ENSDARG00000070839
vsnl1b	ENSDARG00000044053
las1l	ENSDARG00000062457
	ENSDARG00000098615
syt5a	ENSDARG00000037941
fam210ab	ENSDARG00000040186
znf1137	ENSDARG00000086296
lrrc3ca	ENSDARG00000079371
tmem63c	ENSDARG00000004158
ccne1	ENSDARG00000098622
	ENSDARG00000103681
rfx5	ENSDARG00000063258
	ENSDARG00000117156
kctd2	ENSDARG00000025875
ercc5	ENSDARG00000023678
gfm2	ENSDARG00000005561
hexd	ENSDARG00000061216
dtymk	ENSDARG00000052103
apba2b	ENSDARG00000060639
	ENSDARG00000096700
	ENSDARG00000092286
	ENSDARG00000096761
wfdc1	ENSDARG00000058003
rgs7a	ENSDARG00000016584
	ENSDARG00000095527
nrg1	ENSDARG00000104314
si:ch211-117k10.3	ENSDARG00000090914
	ENSDARG00000094924
KCNT1	ENSDARG00000079484
nck2a	ENSDARG00000018206
bco2a	ENSDARG00000055722
pacsin3	ENSDARG00000099339
slc5a1	ENSDARG00000013871
orai2	ENSDARG00000035148
selenot1a	ENSDARG00000058354
slco1d1	ENSDARG00000104108
kgd4	ENSDARG00000079823
	ENSDARG00000093060
	ENSDARG00000052626
plin2	ENSDARG00000042332
lias	ENSDARG00000022845
asah1a	ENSDARG00000037091
mtmr12	ENSDARG00000059817
ccl44	ENSDARG00000074772
irak1bp1	ENSDARG00000036903
zgc:194007	ENSDARG00000091860
otud7b	ENSDARG00000017220
	ENSDARG00000095230
asap1a	ENSDARG00000029463
tbc1d24	ENSDARG00000069339
lbx1a	ENSDARG00000018321
trim71	ENSDARG00000075593
rprm3	ENSDARG00000092792
zgc:171781	ENSDARG00000086247
	ENSDARG00000096869
cpsf6	ENSDARG00000018618
clcn7	ENSDARG00000019556
usp9	ENSDARG00000013708
ubb	ENSDARG00000093313
	ENSDARG00000075027
id4	ENSDARG00000045131
sinhcaf	ENSDARG00000032653
fuca1.1	ENSDARG00000035890
sdhaf4	ENSDARG00000039390
si:dkey-7j14.5	ENSDARG00000097528
	ENSDARG00000094401
hoxb13a	ENSDARG00000056015
TTC9	ENSDARG00000074363
lrpap1	ENSDARG00000033604
si:dkey-197c15.6	ENSDARG00000079401
rbms3	ENSDARG00000044574
tcf20	ENSDARG00000078348
si:ch211-255g12.8	ENSDARG00000069627
chd2	ENSDARG00000060687
	ENSDARG00000105457
st6gal2a	ENSDARG00000039335
	ENSDARG00000096800
zgc:85936	ENSDARG00000087529
	ENSDARG00000077872
cnot9	ENSDARG00000033855
alas1	ENSDARG00000021059
polr1b	ENSDARG00000077469
si:dkey-108k21.19	ENSDARG00000113800
parvab	ENSDARG00000035629
	ENSDARG00000097384
	ENSDARG00000093465
lectin	ENSDARG00000055833
ifi30a	ENSDARG00000056378
amy2a	ENSDARG00000013856
	ENSDARG00000092501
